"","M.C.193","M.C.216","M.C.218","M.C.226","M.C.306","M.C.329","M.C.334","M.C.337","M.C.339","M.C.358","M.C.360","M.C.363","M.C.373","M.C.482","M.C.488","M.T.18","M.T.20","M.T.22","M.T.235","M.T.245","M.T.29","M.T.31","M.T.32","M.T.399","M.T.43","M.T.44","M.T.500","M.T.7","M.T.83","M.T.8"
"LOC132745166",5.44581275806191,5.37519753119734,4.84095556906382,4.87933858133622,5.92272069716261,5.4638818457352,5.75853466565484,4.70301402749335,5.47201684169609,5.28353086148149,5.67404417216417,5.28753634541182,6.48868896267421,4.89647586126911,5.03207081495163,6.74055265050582,6.40188560925544,7.04945354645491,6.79698373088278,5.05605738056604,7.7301954217678,4.52785164858172,5.63951986973445,5.23063326079466,6.47703972680481,5.59310223549864,8.07962426948148,5.44402822632193,5.5093221186977,7.17233166380997
"LOC132747103",5.21358175958621,4.1600242774666,5.44765056806687,5.23097465123808,5.89761023049762,5.77064753464072,5.37099705132562,5.10413730660745,4.5655233867436,4.61113477814454,5.39638086470684,4.54762888033499,10.0988280870906,5.90129569333447,6.96111356125851,3.8209031331663,5.13363318974098,6.8358171230818,8.45265432253546,4.61943431245559,6.15875820810701,6.71041938975675,6.68328532326293,6.0117305909399,6.03747462338732,7.84771333538846,6.87926373961765,8.66759454669382,3.60134588438948,7.27919266415405
"LOC132752133",5.95657973806258,6.31757258581902,6.98437852802037,6.11631094364796,5.79255537189469,5.93378219768503,6.23632729545644,6.92151831835759,6.76125519814939,6.44202005873052,7.62029048286226,7.76919619054424,5.70214845863927,6.09092031829844,3.57745253914817,4.21019058116847,2.80084744880638,4.98672292254781,6.15661881744886,4.94418947985476,5.31088760725491,4.89185837465417,5.35382143800659,6.12398758534624,5.40216931414363,6.20277372721978,6.40648566257175,4.19598885438637,4.79331950371387,4.6454379477821
"LOC132758975",5.38318615981109,7.12298883584798,7.21450194975947,5.73135337888736,6.40490504802147,8.01406767731257,6.85518295508417,6.68447517367124,5.68054235524059,7.5839356017008,6.85070681504311,6.7001587920787,6.25705595194021,7.09302834752222,6.94839290100637,6.28617156087132,5.29898475480866,5.33425215829226,5.47169824610774,5.76463502336235,5.7437733375482,5.97250360190868,5.61576276143391,6.69599683082955,6.52094299340384,6.0006485578828,5.89146688412912,5.83093089772212,5.61144726830863,6.7200990030968
"LOC132759803",10.4241189812611,10.8029811634643,10.9486367639332,10.5361560230362,9.62800722879094,11.4408691228945,10.5685107577631,11.2593762130043,10.0711638518821,10.0410280265478,10.1781346095624,11.1028902320535,9.12473585626984,10.5288351799223,11.1946673144376,9.54815485300662,9.03720391278062,10.2958863730725,10.647059542428,9.77062000619184,9.50439067895415,9.7154576162077,9.43510068347206,10.1124235545233,10.1975378971443,9.69545121029071,10.2135168292706,9.50152645603702,10.1166690713856,9.91832925590199
"LOC132732878",7.2988366665785,7.73909792669598,7.75062851497665,7.78356463594995,7.40530255632193,8.0990545231879,7.38185836135585,7.81751476602459,7.26524293406811,8.08866590179264,7.37823180739653,7.57114074114931,7.95732194897472,7.96152970894004,7.44141375942399,7.00920190140358,6.65476716436096,6.8113728036109,7.41773341900744,7.71932805151254,7.27415040584649,7.19625325129104,6.962932802751,7.40780511931184,6.72240780510881,6.76386515292504,6.97971599538243,7.65713227733071,7.44904938926953,7.34627482967163
"LOC132747234",6.42916734688934,7.91753341271804,6.10846081348855,7.73396357216011,6.70906230096821,7.49249003742256,5.60948955108314,8.54763445782551,8.18923213289343,5.93717129007035,6.82818513590106,8.93709074507092,6.98224059547753,7.14285278738866,7.8836236768384,6.28617156087132,7.16381345357876,6.40061075677542,6.82708706003439,3.87300493160543,5.91959901574073,6.44405592934414,6.24608959667222,4.85027349258242,6.15358740919464,7.06674312488218,5.91702803883342,6.62450634083691,7.11997257572838,6.03758474388703
"LOC132713474",7.07938204682935,8.64941777737595,8.03046253450608,8.01260499582746,8.69504401331387,8.73411209628413,8.33542749883874,8.22022206504729,7.61643703480897,7.62530107068634,8.86914704098836,7.82723289734401,5.95540449930582,8.33281396230282,9.39589463815958,5.98090656585198,5.50262986937754,6.74838617962765,8.49545992323976,7.6317620607728,7.16866280552479,5.94692607584442,6.46132762675763,7.44430342019446,7.83341418437298,7.01885394732729,7.68508117123887,6.75648213986588,7.29387345990198,7.78148573694845
"LOC132717148",6.15705319674226,8.27803002757732,8.03046253450608,7.62439117912435,7.67285012698775,8.13303943815436,7.64957190994235,7.85441464880758,5.95731396660425,7.65756016479648,7.51141713773899,8.11039925804825,6.52392098648923,7.67869284071793,7.44141375942399,5.51251490782236,6.38726448743982,6.70923050676172,6.98228470654664,7.05043208310612,6.39819999486478,7.47206462955419,6.2917829021155,6.40150158383399,7.28382195761263,6.20277372721978,7.6473994168855,5.5927134599128,6.28254440799941,7.16305874592823
"LOC132720882",6.57638844482423,5.69015683684442,6.48770805987232,6.45370610511321,6.54085994634524,5.07376619133498,6.40864331822275,5.78835360745725,6.43937353657548,5.61455927097459,6.03032134379851,4.67951346126843,5.92936277549088,6.63439078882128,6.50285739767118,7.03832035420892,6.92151458699925,6.20806425745785,6.619152750943,7.39698731441046,7.43168414390025,6.32995887820283,7.13992471987902,6.54284864309379,6.62518923387591,8.15294137711791,6.44213492783266,5.87031379094941,6.17546709745268,8.39032239351081
"LOC132732829",7.01887442956794,9.2625502633017,8.49416406195321,8.49913658781341,9.13450835608437,7.90027038431053,7.51354968996889,8.87714060520438,6.43937353657548,7.1908204518236,8.41224911449136,8.11623084904738,7.14948790336266,7.36902908969518,8.52554661783395,7.25225662819996,5.94339648104383,7.29841131694136,7.92878189368032,7.46949681719374,6.66121210993587,7.60882926723338,5.17029059141885,7.90867552091844,7.75285906464782,6.77543989416847,6.96753536010001,6.83820280229283,6.75376067311313,7.50882332547442
"LOC132752300",8.84319511203125,10.4611296509714,9.22397809276726,9.32966022257958,8.9756092049805,10.7415164878631,9.81219333822862,9.89850207901744,9.00211684433622,9.76383080279602,9.94683204494815,9.9173643751537,8.80846306220142,9.85251929194419,10.865638326442,8.57678916338477,8.76485490985926,9.48360215883389,9.33226424498444,9.27681020873818,8.77660359044321,8.83165841379888,8.60494984557491,9.66533534687343,8.87110491148443,8.7914131128932,9.01911747119014,8.07460307254927,9.17745164965533,9.76587938688715
"LOC132759052",7.34885417101089,8.24095279997498,8.12282943710296,7.35885722234543,7.2942394472994,6.92193323477475,4.89209032880905,7.97421008396328,5.65253568193628,7.35719463774595,8.54246670271272,8.20098891794283,6.25705595194021,8.0940812081837,7.10560687233351,6.3022656478023,6.215819219759,6.77391175843078,6.51204300041625,7.30939549825999,7.10769817259176,5.69369676216042,7.2050583573216,6.26124694305726,3.88387465253634,6.20277372721978,6.56039612148211,5.09089591718861,5.32119482112772,6.82964752600483
"LOC132745762",5.72368295660703,7.01418122030534,7.92494943085639,7.14780133407584,6.4913660273621,6.68590741306244,7.04128950237936,6.63685627918387,6.3722703960475,5.77018647788579,6.98910523447402,7.7617746506442,5.92936277549088,7.47007554119286,7.77974511634508,9.06585736516436,8.141453149992,7.47219873071754,6.20327202681642,8.00371902974831,7.44817152421605,6.51539719980985,8.2665076135252,8.45095842472105,8.25339084472721,8.01816070919405,7.56086324141344,6.19894887007678,9.12373988539386,8.19942577172303
"LOC132760592",7.96600949643584,9.85464066251586,9.41144650360291,8.8175637131538,7.7165813604067,8.61411244214241,9.01834296674333,9.50152269587385,8.38064962592974,9.05304633806386,9.36390564139536,9.72660119509071,9.23249076989838,8.22706809364663,8.6681351868857,8.61272428122237,7.99484799087732,8.14526597972623,8.50013863967566,8.53465063043531,7.85291024789993,7.41723962501279,8.44225753708026,8.45095842472105,8.88796755671196,8.21376085002976,8.46038586656824,8.2453382614752,8.51686312470155,8.08133144174204
